Td    ID    Tj    Df    Dd    Db
2    1    1    0    1    1
3    5    2    0    1    1
4    3    1    0    3    3
5    9    3    0    2    2
5    7    2    0    3    3
8    13    4    2    2    4
8    11    3    2    3    5
10    2    1    0    9    9
12    17    5    5    2    7
13    10    3    1    9    10
16    21    6    8    2    10
16    15    4    5    7    12
17    19    5    8    4    12
20    25    7    11    2    13
20    8    2    0    18    18
21    23    6    11    4    15
23    29    8    13    2    15
24    22    6    8    10    18
27    33    9    16    2    18
28    31    8    16    4    20
29    27    7    14    8    22
31    37    10    19    2    21
33    35    9    19    5    24
36    41    11    23    2    25
37    39    10    22    5    27
37    26    7    11    19    30
40    45    12    26    2    28
41    30    8    14    19    33
43    34    9    16    18    34
45    49    13    30    2    32
47    47    12    29    6    35
50    53    14    34    2    36
51    43    11    26    14    40
55    57    15    38    2    40
57    51    13    33    11    44
62    55    14    37    11    48
64    59    15    43    6    49
67    61    16    47    4    51
70    65    17    51    2    53
72    63    16    49    7    56
76    69    18    56    2    58
78    2003    1    0    77    77
78    67    17    54    7    61
82    71    18    59    5    64
83    62    16    48    19    67
84    73    19    64    1    65
84    66    17    53    14    67
86    77    20    65    1    66
87    75    19    64    4    68
89    79    20    65    4    69
89    81    21    66    2    68
91    64    16    50    25    75
94    85    22    70    2    72
94    83    21    69    4    73
97    89    23    72    2    74
97    78    20    65    12    77
99    87    22    73    4    77
102    93    24    76    2    78
102    91    23    75    4    79
106    97    25    79    2    81
107    95    24    79    4    83
109    86    22    70    17    87
110    101    26    82    2    84
112    99    25    82    5    87
115    105    27    86    2    88
116    103    26    85    5    90
120    109    28    90    2    92
122    107    27    89    6    95
126    113    29    95    2    97
127    111    28    93    6    99
133    117    30    101    2    103
135    115    29    99    7    106
139    121    31    106    2    108
144    119    30    105    9    114
148    2007    2    0    146    146
148    125    32    114    2    116
148    123    31    109    8    117
152    118    30    104    18    122
152    116    29    101    22    123
154    127    32    117    5    122
154    129    33    120    1    121
157    131    33    120    4    124
157    133    34    121    2    123
157    126    32    117    8    125
160    137    35    123    2    125
161    135    34    124    3    127
164    141    36    126    2    128
165    139    35    126    4    130
165    134    34    121    10    131
168    145    37    129    2    131
169    143    36    129    4    133
172    149    38    132    2    134
173    147    37    132    4    136
176    153    39    135    2    137
177    151    38    135    4    139
180    157    40    138    2    140
181    155    39    138    4    142
186    161    41    143    2    145
186    159    40    141    5    146
191    165    42    147    2    149
192    163    41    146    5    151
196    169    43    151    2    153
198    167    42    150    6    156
203    173    44    157    2    159
204    171    43    155    6    161
210    175    44    160    6    166
215    177    45    164    6    170
