Td    ID    Tj    Df    Dd    Db
217    179    45    166    6    172
221    2011    3    0    218    218
223    181    46    170    7    177
223    183    46    172    5    177
225    185    47    177    1    178
225    178    45    165    15    180
227    189    48    178    1    179
228    187    47    177    4    181
230    193    49    179    2    181
230    182    46    170    14    184
233    186    47    177    9    186
234    197    50    182    2    184
235    190    48    178    9    187
238    201    51    185    2    187
238    191    48    179    11    190
239    199    50    185    4    189
241    205    52    187    2    189
242    203    51    188    3    191
243    195    49    182    12    194
246    209    53    191    2    193
246    207    52    190    4    194
249    213    54    193    2    195
250    198    50    184    16    200
251    211    53    194    4    198
254    217    55    197    2    199
254    215    54    196    4    200
258    221    56    200    2    202
259    219    55    200    4    204
263    225    57    204    2    206
264    223    56    203    5    208
268    229    58    208    2    210
269    227    57    207    5    212
273    233    59    212    2    214
275    231    58    211    6    217
279    235    59    215    5    220
282    237    60    220    2    222
288    241    61    225    2    227
291    239    60    223    8    231
294    245    62    230    2    232
298    2015    4    218    76    294
298    243    61    228    9    237
300    238    60    220    20    240
300    247    62    233    5    238
302    249    63    238    1    239
304    253    64    239    1    240
305    251    63    238    4    242
308    255    64    240    4    244
308    257    65    241    2    243
310    250    63    238    9    247
312    254    64    239    9    248
313    259    65    244    4    248
313    261    66    245    2    247
315    244    61    229    25    254
316    265    67    247    2    249
317    263    66    247    4    251
319    269    68    249    2    251
320    267    67    249    4    253
321    262    66    245    10    255
324    273    69    253    2    255
324    271    68    252    4    256
327    277    70    255    2    257
329    275    69    256    4    260
332    281    71    259    2    261
333    279    70    258    5    263
335    274    69    253    13    266
337    285    72    263    2    265
338    283    71    262    5    267
342    289    73    267    2    269
343    287    72    266    5    271
347    293    74    271    2    273
349    291    73    270    6    276
353    297    75    276    2    278
354    295    74    274    6    280
361    299    75    280    6    286
362    301    76    284    2    286
367    305    77    288    2    290
370    303    76    286    8    294
374    1479    370    0    4    4
375    2019    5    227    143    370
375    309    78    295    2    297
375    1483    371    0    4    4
375    307    77    291    7    298
376    1487    372    0    4    4
377    1491    373    0    4    4
378    1495    374    0    4    4
379    1499    375    0    4    4
379    302    76    286    17    303
380    311    78    298    4    302
380    1503    376    0    4    4
380    313    79    300    1    301
381    1507    377    0    4    4
382    1511    378    0    4    4
382    306    77    290    15    305
383    317    80    301    2    303
383    1515    379    0    4    4
384    1519    380    0    4    4
384    310    78    298    8    306
385    1523    381    0    4    4
386    321    81    303    2    305
386    1527    382    0    4    4
387    1531    383    0    4    4
387    315    79    301    7    308
388    1535    384    0    4    4
389    1539    385    0    4    4
390    325    82    306    2    308
390    1543    386    0    4    4
390    318    80    301    9    310
391    323    81    306    4    310
391    1547    387    0    4    4
392    1551    388    0    4    4
393    1555    389    0    4    4
393    319    80    303    10    313
394    329    83    309    2    311
394    1559    390    0    4    4
395    327    82    309    4    313
395    1563    391    0    4    4
396    1567    392    0    4    4
397    1571    393    0    4    4
398    331    83    311    4    315
398    333    84    312    2    314
398    1575    394    0    4    4
399    1579    395    0    4    4
399    326    82    307    10    317
400    1583    396    0    4    4
401    337    85    314    2    316
401    1587    397    0    4    4
402    1591    398    0    4    4
403    335    84    315    4    319
403    1595    399    0    4    4
404    1599    400    0    4    4
405    1603    401    0    4    4
406    341    86    318    2    320
406    1607    402    0    4    4
406    339    85    317    4    321
407    1611    403    0    4    4
408    1615    404    0    4    4
409    345    87    320    2    322
409    1619    405    0    4    4
410    1623    406    0    4    4
411    1627    407    0    4    4
411    343    86    321    4    325
412    1631    408    0    4    4
413    1635    409    0    4    4
414    349    88    324    2    326
414    1639    410    0    4    4
414    338    85    315    14    329
415    1643    411    0    4    4
416    1647    412    0    4    4
417    1651    413    0    4    4
418    1655    414    0    4    4
419    353    89    328    2    330
419    1659    415    0    4    4
420    1663    416    0    4    4
420    351    88    327    5    332
421    1667    417    0    4    4
422    1671    418    0    4    4
422    347    87    323    12    335
423    1675    419    0    4    4
424    357    90    332    2    334
424    1679    420    0    4    4
425    1683    421    0    4    4
426    1687    422    0    4    4
427    1691    423    0    4    4
428    1695    424    0    4    4
429    1699    425    0    4    4
430    1703    426    0    4    4
430    359    90    335    5    340
431    361    91    338    2    340
431    1707    427    0    4    4
432    1711    428    0    4    4
433    2358    90    280    63    343
433    1715    429    0    4    4
434    1719    430    0    4    4
434    355    89    331    14    345
436    365    92    343    1    344
436    1727    432    0    4    4
437    1731    433    0    4    4
437    1723    431    0    6    6
437    1735    434    0    3    3
438    1739    435    0    3    3
439    363    91    341    7    348
439    1743    436    0    3    3
440    1747    437    0    3    3
441    1751    438    0    3    3
442    369    93    348    1    349
442    1755    439    0    3    3
442    367    92    346    4    350
443    2324    82    289    72    361
443    1759    440    0    3    3
445    2332    84    286    75    361
445    1763    441    0    4    4
446    1767    442    0    4    4
447    1771    443    0    4    4
448    371    93    350    5    355
448    1775    444    0    4    4
449    1779    445    0    4    4
449    1783    446    0    3    3
450    373    94    355    1    356
450    1787    447    0    3    3
451    1791    448    0    3    3
452    1795    449    0    3    3
453    1799    450    0    3    3
454    1803    451    0    3    3
455    1807    452    0    3    3
456    2023    6    226    224    450
456    375    94    359    3    362
456    1811    453    0    3    3
457    1815    454    0    3    3
458    377    95    362    1    363
458    1819    455    0    3    3
458    372    93    351    14    365
459    2396    100    271    88    359
459    1823    456    0    3    3
460    374    94    357    9    366
461    381    96    364    1    365
461    1827    457    0    4    4
462    1831    458    0    4    4
462    379    95    364    3    367
462    1835    459    0    3    3
463    385    97    365    1    366
463    1839    460    0    3    3
464    383    96    365    3    368
464    1843    461    0    3    3
465    1847    462    0    3    3
466    2064    17    353    96    449
466    1851    463    0    3    3
467    387    97    367    3    370
468    389    98    368    2    370
468    1855    464    0    4    4
469    1859    465    0    4    4
470    1863    466    0    4    4
470    1867    467    0    3    3
471    393    99    371    1    372
471    391    98    370    3    373
471    1871    468    0    3    3
472    1875    469    0    3    3
473    397    100    372    1    373
473    1879    470    0    3    3
474    1883    471    0    3    3
475    1887    472    0    3    3
475    395    99    373    3    376
476    390    98    369    9    378
476    1891    473    0    3    3
477    399    100    374    3    377
477    1895    474    0    3    3
478    401    101    376    1    377
478    1899    475    0    3    3
479    1903    476    0    3    3
480    1907    477    0    3    3
481    403    101    377    3    380
481    1911    478    0    3    3
481    394    99    372    10    382
482    1915    479    0    3    3
483    405    102    380    1    381
483    1919    480    0    3    3
484    1923    481    0    3    3
485    409    103    381    1    382
485    1927    482    0    3    3
486    407    102    380    4    384
486    1931    483    0    3    3
487    1935    484    0    3    3
488    1939    485    0    3    3
489    411    103    383    3    386
489    1943    486    0    3    3
490    1947    487    0    3    3
491    1951    488    0    3    3
492    413    104    386    2    388
492    1955    489    0    3    3
493    415    104    386    3    389
493    1959    490    0    3    3
494    1963    491    0    3    3
495    1967    492    0    3    3
496    417    105    389    2    391
496    1971    493    0    3    3
497    419    105    389    3    392
497    1975    494    0    3    3
498    1979    495    0    3    3
499    421    106    392    1    393
499    1983    496    0    3    3
====================================
Battle_result: Draw
====================================
For Earth army:
Total Es: 1866
Total Et: 130
Total Eg: 0
Total healed units percentage: 0 %
percentage of destructed Es: 13.2905 %
percentage of destructed Et: 97.6923 %
percentage of destructed Eg: -nan(ind) %
percentage of total destructed units: 18.7876 %
Average Df: 125.837
Average Dd: 4.60267
Average Db: 130.44
Df//Db: 0.964714
Dd/Db: 0.0352857
====================================
For Alien army:
Total As: 629
Total Am: 998
Total Ad: 369
percentage of destructed As: 0.953895 %
percentage of destructed Am: 0.501002 %
percentage of destructed Ad: 0 %
percentage of total destructed units: 0.551102 %
Average Df: 195.455
Average Dd: 116.182
Average Db: 311.636
Df//Db: 0.627188
Dd/Db: 0.372812
