Td    ID    Tj    Df    Dd    Db
407    2818    205    196    6    202
407    2822    206    195    6    201
407    2826    207    194    6    200
407    2830    208    193    6    199
407    3523    381    1    25    26
407    3527    382    1    24    25
407    3467    367    1    39    40
408    2587    147    1    260    261
410    3539    385    2    23    25
414    3531    383    5    26    31
415    2834    209    199    7    206
415    2838    210    198    7    205
415    2842    211    197    7    204
415    2846    212    196    7    203
415    3519    380    11    24    35
420    3547    387    4    29    33
422    3159    290    2    130    132
422    3555    389    1    32    33
423    3563    391    7    25    32
424    2850    213    203    8    211
424    2854    214    202    8    210
424    2858    215    201    8    209
424    2862    216    200    8    208
427    3551    388    1    38    39
429    3559    390    2    37    39
431    3535    384    3    44    47
432    3619    405    2    25    27
434    3611    403    1    30    31
434    3591    398    8    28    36
435    2866    217    208    10    218
435    2870    218    207    10    217
435    2874    219    206    10    216
435    2878    220    205    10    215
438    3615    404    1    33    34
440    3647    412    3    25    28
440    3643    411    2    27    29
440    3635    409    3    28    31
442    2882    221    215    6    221
442    2886    222    214    6    220
442    2890    223    213    6    219
442    2894    224    212    6    218
442    3659    415    1    26    27
444    3543    386    2    56    58
446    3623    406    6    34    40
447    3639    410    1    36    37
448    3699    425    3    20    23
450    2898    225    218    7    225
450    2902    226    217    7    224
450    2906    227    216    7    223
450    2910    228    215    7    222
451    3663    416    5    30    35
452    3683    421    4    27    31
454    3719    430    2    22    24
455    3711    428    2    25    27
455    3695    424    2    29    31
457    3731    433    3    21    24
459    2914    229    222    8    230
459    2918    230    221    8    229
459    2922    231    220    8    228
459    2926    232    219    8    227
467    3743    436    3    28    31
468    2930    233    227    8    235
468    2934    234    226    8    234
468    2938    235    225    8    233
468    2942    236    224    8    232
468    3691    423    1    44    45
473    3779    445    2    26    28
474    3787    447    1    26    27
474    3775    444    1    29    30
474    3771    443    3    28    31
474    3807    452    1    21    22
475    2946    237    232    6    238
475    2950    238    231    6    237
475    2954    239    230    6    236
475    2958    240    229    6    235
477    3763    441    3    33    36
477    3827    457    1    19    20
477    3739    435    2    40    42
478    3791    448    1    29    30
480    3819    455    2    23    25
481    3795    449    3    29    32
483    2962    241    235    7    242
483    2966    242    234    7    241
483    2970    243    233    7    240
483    2974    244    232    7    239
484    3811    453    2    29    31
486    3831    458    10    18    28
487    3823    456    3    28    31
487    3755    439    5    43    48
490    3871    468    1    21    22
491    3727    432    1    58    59
492    2978    245    239    8    247
492    2982    246    238    8    246
492    2986    247    237    8    245
492    2990    248    236    8    244
496    1856    464    0    32    32
499    3507    377    3    119    122
====================================
Battle_result: Draw
====================================
For Earth army:
Total Es: 0
Total Et: 499
Total Eg: 998
Total healed units percentage: 0.668003 %
percentage of destructed Es: -nan(ind) %
percentage of destructed Et: 1.002 %
percentage of destructed Eg: 0 %
percentage of total destructed units: 0.334001 %
Average Df: 0
Average Dd: 31.8
Average Db: 31.8
Df//Db: 0
Dd/Db: 1
====================================
For Alien army:
Total As: 499
Total Am: 499
Total Ad: 998
percentage of destructed As: 49.6994 %
percentage of destructed Am: 42.0842 %
percentage of destructed Ad: 0 %
percentage of total destructed units: 22.9459 %
Average Df: 56.8472
Average Dd: 18.0873
Average Db: 74.9345
Df//Db: 0.758625
Dd/Db: 0.241375
