Td    ID    Tj    Df    Dd    Db
6    2002    1    0    5    5
7    2006    2    0    5    5
8    2010    3    0    5    5
9    2014    4    0    5    5
11    2003    1    0    10    10
12    2018    5    2    5    7
13    2022    6    2    5    7
14    2026    7    2    5    7
14    2007    2    0    12    12
15    2030    8    2    5    7
15    2011    3    0    12    12
18    2034    9    4    5    9
18    2019    5    0    13    13
19    2038    10    4    5    9
19    2015    4    0    15    15
20    2042    11    4    5    9
20    2031    8    0    12    12
21    2046    12    4    5    9
22    2027    7    0    15    15
23    2023    6    0    17    17
24    2050    13    6    5    11
25    2054    14    6    5    11
25    2055    14    0    11    11
26    2058    15    6    5    11
26    2039    10    0    16    16
27    2062    16    6    5    11
30    2066    17    8    5    13
31    2070    18    8    5    13
32    2074    19    8    5    13
33    2078    20    8    5    13
33    2071    18    0    15    15
35    2079    20    0    15    15
36    2082    21    10    5    15
36    2075    19    0    17    17
37    2086    22    10    5    15
38    2090    23    10    5    15
38    2091    23    0    15    15
39    2094    24    10    5    15
42    2098    25    12    5    17
43    2102    26    12    5    17
44    2106    27    12    5    17
44    2035    9    1    34    35
45    2110    28    12    5    17
46    2107    27    2    17    19
46    2099    25    1    20    21
48    2114    29    14    5    19
49    2118    30    14    5    19
50    2122    31    14    5    19
51    2126    32    14    5    19
52    2111    28    2    22    24
54    2130    33    16    5    21
55    2134    34    16    5    21
56    2138    35    16    5    21
57    2142    36    16    5    21
60    2146    37    18    5    23
61    2150    38    18    5    23
62    2154    39    18    5    23
63    2158    40    18    5    23
63    2171    43    3    17    20
64    2175    44    0    20    20
65    2191    48    0    17    17
66    2162    41    20    5    25
67    2166    42    20    5    25
68    2170    43    20    5    25
69    2174    44    20    5    25
69    2167    42    2    25    27
72    2178    45    22    5    27
73    2182    46    22    5    27
73    2199    50    2    21    23
74    2186    47    22    5    27
75    2190    48    22    5    27
77    2223    56    2    19    21
78    2194    49    24    5    29
79    2198    50    24    5    29
79    2215    54    2    23    25
80    2202    51    24    5    29
81    2206    52    24    5    29
81    2239    60    0    21    21
81    2235    59    2    20    22
84    2210    53    26    5    31
85    2214    54    26    5    31
85    2127    32    3    50    53
86    2218    55    26    5    31
87    2222    56    26    5    31
88    2275    69    0    19    19
89    2263    66    2    21    23
90    2226    57    28    5    33
91    2230    58    28    5    33
92    2234    59    28    5    33
92    2219    55    2    35    37
93    2238    60    28    5    33
93    2279    70    0    23    23
95    2203    51    3    41    44
96    2242    61    30    5    35
96    2287    72    3    21    24
96    2307    77    0    19    19
97    2246    62    30    5    35
97    2311    78    0    19    19
98    2250    63    30    5    35
99    2254    64    30    5    35
100    2315    79    1    20    21
102    2258    65    32    5    37
103    2262    66    32    5    37
104    2266    67    32    5    37
105    2270    68    32    5    37
108    2335    84    3    21    24
109    2274    69    34    6    40
110    2278    70    34    6    40
111    2282    71    34    6    40
111    2367    92    0    19    19
113    2286    72    34    7    41
114    2375    94    0    20    20
115    2383    96    0    19    19
116    2363    91    1    24    25
117    2290    73    37    7    44
117    2387    97    0    20    20
118    2294    74    37    7    44
120    2298    75    37    8    45
120    2403    101    0    19    19
122    2302    76    38    8    46
124    2407    102    2    20    22
126    2306    77    41    8    49
127    2310    78    41    8    49
127    2411    103    2    22    24
130    400    100    0    30    30
131    2419    105    2    24    26
133    2314    79    42    12    54
133    2318    80    43    10    53
134    2439    110    3    21    24
135    2322    81    46    8    54
135    2326    82    46    7    53
136    2447    112    2    22    24
138    2459    115    1    22    23
140    2330    83    51    6    57
140    2334    84    50    6    56
141    2291    73    1    67    68
142    2338    85    51    6    57
142    2342    86    50    6    56
143    2483    121    2    20    22
147    2491    123    3    21    24
148    2346    87    54    7    61
148    2350    88    53    7    60
149    2511    128    2    19    21
150    2354    89    54    7    61
150    2358    90    53    7    60
152    2499    125    2    25    27
154    2463    116    1    37    38
156    2527    132    2    22    24
157    2362    91    58    8    66
157    2366    92    57    8    65
158    2539    135    3    20    23
159    2370    93    58    8    66
159    2374    94    57    8    65
163    2559    140    3    20    23
167    2378    95    63    9    72
167    2382    96    62    9    71
168    2386    97    63    8    71
168    2390    98    62    8    70
169    2575    144    2    23    25
171    2579    145    2    24    26
174    2394    99    69    6    75
174    2398    100    68    6    74
174    2603    151    3    20    23
175    2583    146    3    26    29
176    2402    101    68    7    75
176    2406    102    67    7    74
178    2599    150    2    26    28
183    2410    103    72    8    80
183    2414    104    71    8    79
185    2418    105    72    8    80
185    2422    106    71    8    79
185    2647    162    3    20    23
186    2639    160    2    24    26
188    2643    161    2    25    27
189    2423    106    2    81    83
189    2667    167    2    20    22
192    2426    107    77    8    85
192    2430    108    76    8    84
195    656    164    0    31    31
197    2679    170    3    24    27
199    2434    109    77    13    90
199    2438    110    76    13    89
200    2635    159    2    39    41
201    2442    111    82    8    90
201    2446    112    81    8    89
206    2450    113    87    6    93
206    2454    114    86    6    92
207    2731    183    2    22    24
208    2458    115    87    6    93
208    2462    116    86    6    92
213    2775    194    2    17    19
214    2466    117    90    7    97
214    2470    118    89    7    96
214    2751    188    1    25    26
215    2767    192    2    21    23
216    2474    119    90    7    97
216    2478    120    89    7    96
222    2815    204    2    16    18
223    2482    121    94    8    102
223    2486    122    93    8    101
223    2811    203    2    18    20
225    2490    123    94    8    102
225    2494    124    93    8    101
228    2843    211    0    17    17
232    2498    125    99    8    107
232    2502    126    98    8    106
233    2506    127    99    7    106
233    2510    128    98    7    105
234    2831    208    2    24    26
235    2855    214    1    20    21
238    2871    218    2    18    20
239    2514    129    104    6    110
239    2518    130    103    6    109
241    2522    131    103    7    110
241    2526    132    102    7    109
241    2879    220    2    19    21
244    2875    219    2    23    25
245    2723    181    1    63    64
247    2530    133    107    7    114
247    2534    134    106    7    113
250    2538    135    107    8    115
250    2542    136    106    8    114
250    2915    229    2    19    21
251    2907    227    3    21    24
253    2923    231    2    20    22
254    2931    233    0    21    21
256    2546    137    111    8    119
256    2550    138    110    8    118
260    916    229    0    31    31
264    2554    139    112    13    125
264    2558    140    111    13    124
264    2955    239    2    23    25
265    2967    242    2    21    23
265    2671    168    3    94    97
266    2562    141    116    9    125
266    2566    142    115    9    124
271    2570    143    122    6    128
271    2574    144    121    6    127
273    2578    145    122    6    128
273    2582    146    121    6    127
273    2995    249    4    20    24
275    3007    252    4    19    23
279    2586    147    125    7    132
279    2590    148    124    7    131
280    3035    259    2    19    21
281    2594    149    125    7    132
281    2598    150    124    7    131
284    3027    257    2    25    27
284    3047    262    2    20    22
284    3023    256    0    28    28
285    3039    260    2    23    25
287    3043    261    2    24    26
288    2602    151    129    8    137
288    2606    152    128    8    136
289    2495    124    1    164    165
290    2610    153    129    8    137
290    2614    154    128    8    136
298    2618    155    134    9    143
298    2622    156    133    9    142
299    2626    157    134    8    142
299    2630    158    133    8    141
301    3123    281    2    18    20
301    3095    274    3    24    27
303    3107    277    2    24    26
304    2883    221    4    79    83
304    2431    108    1    195    196
305    2634    159    140    6    146
305    2638    160    139    6    145
306    2642    161    139    6    145
306    2646    162    138    6    144
310    3103    276    2    32    34
310    3127    282    2    26    28
313    2650    163    143    7    150
313    2654    164    142    7    149
315    2658    165    142    8    150
315    2662    166    141    8    149
317    3163    291    2    24    26
317    3175    294    0    23    23
318    3143    286    3    29    32
319    3183    296    2    21    23
321    3171    293    2    26    28
322    2666    167    147    8    155
322    2670    168    146    8    154
322    3179    295    2    25    27
325    3187    297    2    26    28
328    2674    169    147    12    159
328    2678    170    146    12    158
328    3191    298    2    28    30
330    2631    158    1    171    172
330    3211    303    1    26    27
331    2682    171    152    8    160
331    2686    172    151    8    159
331    3215    304    2    25    27
332    3199    300    3    29    32
333    3195    299    2    32    34
335    2690    173    156    6    162
335    2694    174    155    6    161
336    3223    306    6    24    30
338    2698    175    157    6    163
338    2702    176    156    6    162
339    3243    311    2    26    28
339    3207    302    3    34    37
341    3219    305    2    34    36
342    3247    312    9    21    30
343    2706    177    159    7    166
343    2710    178    158    7    165
345    3283    321    1    23    24
346    2714    179    160    7    167
346    2718    180    159    7    166
350    3287    322    1    27    28
350    3279    320    4    26    30
352    2722    181    163    8    171
352    2726    182    162    8    170
353    3271    318    1    34    35
353    3291    323    3    27    30
355    2730    183    164    8    172
355    2734    184    163    8    171
356    3303    326    3    27    30
357    3323    331    1    25    26
361    3315    329    6    26    32
362    1308    327    0    35    35
364    3339    335    2    27    29
364    3347    337    4    23    27
365    3327    332    1    32    33
365    3275    319    1    45    46
366    2738    185    168    13    181
366    2742    186    167    13    180
367    2746    187    169    11    180
367    2750    188    168    11    179
367    3363    341    1    25    26
373    2754    189    178    6    184
373    2758    190    177    6    183
373    3359    340    4    29    33
374    2762    191    177    6    183
374    2766    192    176    6    182
375    3335    334    2    39    41
376    3331    333    1    42    43
379    3419    355    2    22    24
380    3383    346    6    28    34
380    3367    342    1    37    38
381    2770    193    181    7    188
381    2774    194    180    7    187
381    3407    352    3    26    29
382    2778    195    180    7    187
382    2782    196    179    7    186
382    3427    357    1    24    25
383    3403    351    2    30    32
383    3167    292    2    89    91
384    3415    354    2    28    30
384    3431    358    4    22    26
384    3083    271    2    111    113
388    3447    362    7    19    26
389    3371    343    3    43    46
390    2786    197    185    8    193
390    2790    198    184    8    192
391    2794    199    184    8    192
391    2798    200    183    8    191
397    3471    368    2    27    29
400    2802    201    190    9    199
400    2806    202    189    9    198
400    2810    203    189    8    197
400    2814    204    188    8    196
402    3503    376    1    25    26
402    3475    369    5    28    33
403    3459    365    2    36    38
404    3495    374    2    28    30
