Td    ID    Tj    Df    Dd    Db
3    2001    1    0    2    2
4    2005    2    0    2    2
5    2002    1    0    4    4
6    2009    3    0    3    3
6    2006    2    0    4    4
6    2013    4    0    2    2
7    2010    3    0    4    4
7    2017    5    0    2    2
9    2014    4    0    5    5
9    2018    5    0    4    4
9    2021    6    0    3    3
10    2025    7    0    3    3
10    2029    8    0    2    2
10    2022    6    0    4    4
11    2026    7    0    4    4
12    2033    9    0    3    3
12    2030    8    0    4    4
13    2037    10    0    3    3
13    2034    9    0    4    4
14    2045    12    0    2    2
14    2038    10    0    4    4
14    2041    11    0    3    3
15    2049    13    0    2    2
15    2042    11    0    4    4
16    2046    12    0    4    4
17    2053    14    0    3    3
17    2057    15    0    2    2
17    2050    13    0    4    4
18    2054    14    0    4    4
18    2061    16    0    2    2
19    2058    15    0    4    4
20    2065    17    0    3    3
20    2069    18    0    2    2
21    2066    17    0    4    4
21    2062    16    0    5    5
22    2077    20    0    2    2
22    2070    18    0    4    4
22    2073    19    0    3    3
23    2081    21    0    2    2
23    2074    19    0    4    4
24    2078    20    0    4    4
25    2085    22    0    3    3
25    2089    23    0    2    2
25    2082    21    0    4    4
26    2086    22    0    4    4
26    2093    24    0    2    2
27    2090    23    0    4    4
28    2097    25    0    3    3
28    2101    26    0    2    2
29    2098    25    0    4    4
29    2094    24    0    5    5
30    2109    28    0    2    2
30    2102    26    0    4    4
30    2105    27    0    3    3
31    2113    29    0    2    2
31    2106    27    0    4    4
32    2110    28    0    4    4
33    2117    30    0    3    3
33    2121    31    0    2    2
33    2114    29    0    4    4
34    2118    30    0    4    4
34    2125    32    0    2    2
35    2122    31    0    4    4
36    2129    33    0    3    3
36    2133    34    0    2    2
37    2130    33    0    4    4
37    2126    32    0    5    5
38    2141    36    0    2    2
38    2134    34    0    4    4
38    2137    35    0    3    3
39    2145    37    0    2    2
39    2138    35    0    4    4
40    2142    36    0    4    4
41    2149    38    0    3    3
41    2153    39    0    2    2
41    2146    37    0    4    4
42    2150    38    0    4    4
42    2157    40    0    2    2
43    2154    39    0    4    4
44    2161    41    0    3    3
44    2165    42    0    2    2
45    2162    41    0    4    4
45    2158    40    0    5    5
46    2173    44    0    2    2
46    2166    42    0    4    4
46    2169    43    0    3    3
47    2177    45    0    2    2
47    2170    43    0    4    4
48    2174    44    0    4    4
49    2181    46    0    3    3
49    2185    47    0    2    2
49    2178    45    0    4    4
50    2182    46    0    4    4
50    2189    48    0    2    2
51    2186    47    0    4    4
52    2193    49    0    3    3
52    2197    50    0    2    2
53    2194    49    0    4    4
53    2190    48    0    5    5
54    2205    52    0    2    2
54    2198    50    0    4    4
54    2201    51    0    3    3
55    2209    53    0    2    2
55    2202    51    0    4    4
56    2206    52    0    4    4
57    2213    54    0    3    3
57    2217    55    0    2    2
57    2210    53    0    4    4
58    2214    54    0    4    4
58    2221    56    0    2    2
59    2218    55    0    4    4
60    2225    57    0    3    3
60    2229    58    0    2    2
61    2226    57    0    4    4
61    2222    56    0    5    5
62    2237    60    0    2    2
62    2230    58    0    4    4
62    2233    59    0    3    3
63    2241    61    0    2    2
63    2234    59    0    4    4
64    2238    60    0    4    4
65    2245    62    0    3    3
65    2249    63    0    2    2
65    2242    61    0    4    4
66    2246    62    0    4    4
66    2253    64    0    2    2
67    2250    63    0    4    4
68    2257    65    0    3    3
68    2261    66    0    2    2
69    2258    65    0    4    4
69    2254    64    0    5    5
70    2269    68    0    2    2
70    2262    66    0    4    4
70    2265    67    0    3    3
71    2273    69    0    2    2
71    2266    67    0    4    4
72    2270    68    0    4    4
73    2277    70    0    3    3
73    2281    71    0    2    2
73    2274    69    0    4    4
74    2278    70    0    4    4
74    2285    72    0    2    2
75    2282    71    0    4    4
76    2289    73    0    3    3
76    2293    74    0    2    2
77    2290    73    0    4    4
77    2286    72    0    5    5
78    2301    76    0    2    2
78    2294    74    0    4    4
78    2297    75    0    3    3
79    2305    77    0    2    2
79    2298    75    0    4    4
80    2302    76    0    4    4
81    2309    78    0    3    3
81    2313    79    0    2    2
81    2306    77    0    4    4
82    2310    78    0    4    4
82    2317    80    0    2    2
83    2314    79    0    4    4
84    2321    81    0    3    3
84    2325    82    0    2    2
85    2322    81    0    4    4
85    2318    80    0    5    5
86    2333    84    0    2    2
86    2326    82    0    4    4
86    2329    83    0    3    3
87    2337    85    0    2    2
87    2330    83    0    4    4
88    2334    84    0    4    4
89    2341    86    0    3    3
89    2345    87    0    2    2
89    2338    85    0    4    4
90    2342    86    0    4    4
90    2349    88    0    2    2
90    4    1    0    89    89
91    2346    87    0    4    4
92    2353    89    0    3    3
92    2357    90    0    2    2
93    2354    89    0    4    4
93    2350    88    0    5    5
94    2365    92    0    2    2
94    2358    90    0    4    4
94    2361    91    0    3    3
95    2369    93    0    2    2
95    2362    91    0    4    4
96    2366    92    0    4    4
97    2373    94    0    3    3
97    2377    95    0    2    2
97    2370    93    0    4    4
98    2374    94    0    4    4
98    2381    96    0    2    2
99    2378    95    0    4    4
100    2385    97    0    3    3
100    2389    98    0    2    2
101    2386    97    0    4    4
101    2382    96    0    5    5
102    2397    100    0    2    2
102    2390    98    0    4    4
102    2393    99    0    3    3
103    2401    101    0    2    2
103    2394    99    0    4    4
104    2398    100    0    4    4
105    2405    102    0    3    3
105    2409    103    0    2    2
106    2402    101    0    5    5
107    2413    104    0    3    3
107    2406    102    0    5    5
108    2417    105    0    3    3
108    2410    103    0    5    5
109    2421    106    0    3    3
109    2425    107    0    2    2
109    2414    104    0    5    5
109    2418    105    0    4    4
110    2422    106    0    4    4
111    2429    108    0    3    3
111    2433    109    0    2    2
112    2426    107    0    5    5
112    2430    108    0    4    4
113    2437    110    0    3    3
114    2434    109    0    5    5
114    2441    111    0    3    3
115    2445    112    0    3    3
115    2438    110    0    5    5
116    2449    113    0    3    3
116    2442    111    0    5    5
117    2446    112    0    5    5
117    2453    114    0    3    3
118    2450    113    0    5    5
118    2457    115    0    3    3
119    2454    114    0    5    5
