Td    ID    Tj    Df    Dd    Db
230    2767    192    0    38    38
230    58    15    12    203    215
230    282    71    133    26    159
230    270    68    126    36    162
230    62    16    11    203    214
230    813    204    0    26    26
233    2407    102    0    131    131
234    2667    167    0    67    67
235    2758    190    1    44    45
235    2571    143    0    92    92
236    2295    74    0    162    162
237    2706    177    0    60    60
237    2722    181    0    56    56
237    2710    178    0    59    59
238    2491    123    0    115    115
238    2419    105    0    133    133
239    2499    125    0    114    114
240    2044    12    151    77    228
241    2363    91    0    150    150
242    2048    13    152    77    229
243    2053    14    191    38    229
243    2811    203    0    40    40
244    2670    168    1    75    76
247    2057    15    199    33    232
247    2770    193    2    52    54
247    2707    177    0    70    70
249    314    79    151    19    170
249    306    77    144    28    172
249    286    72    140    37    177
252    2623    156    0    96    96
253    2627    157    0    96    96
253    2535    134    0    119    119
255    2455    114    0    141    141
255    2631    158    0    97    97
256    302    76    144    36    180
256    294    74    144    38    182
256    298    75    144    37    181
256    290    73    145    38    183
256    925    232    0    24    24
256    929    233    0    23    23
257    2822    206    2    49    51
259    2582    146    2    111    113
260    2547    137    0    123    123
261    2774    194    2    65    67
261    2874    219    2    40    42
261    2335    84    0    177    177
263    2471    118    0    145    145
265    2475    119    0    146    146
265    2479    120    0    145    145
265    2563    141    0    124    124
268    2854    214    1    53    54
270    2870    218    1    51    52
270    2487    122    0    148    148
271    2826    207    2    62    64
274    2542    136    1    137    138
276    2061    16    227    33    260
277    2790    198    2    77    79
278    2052    14    187    77    264
278    350    88    168    22    190
278    326    82    164    32    196
278    330    83    163    32    195
279    2595    149    0    130    130
280    2065    17    231    32    263
281    2435    109    0    172    172
282    2950    238    2    42    44
282    2910    228    1    53    54
284    2711    178    0    106    106
284    2519    130    0    154    154
285    2902    226    3    56    59
285    2554    139    1    145    146
286    2611    153    0    133    133
286    2615    154    0    132    132
287    2523    131    0    156    156
288    2898    225    2    61    63
288    2619    155    0    133    133
289    2719    180    0    109    109
289    2843    211    0    78    78
290    2383    96    0    194    194
291    2022    6    0    285    285
291    2723    181    0    110    110
293    334    84    166    43    209
293    338    85    166    42    208
294    2056    15    198    81    279
296    2543    136    0    160    160
296    2639    160    0    136    136
297    2930    233    0    64    64
299    2466    117    2    180    182
299    2551    138    0    161    161
300    2755    189    0    111    111
300    346    87    168    45    213
300    342    86    169    45    214
300    1045    262    0    38    38
300    965    242    0    58    58
303    2559    140    0    163    163
305    2906    227    1    77    78
307    2567    142    0    165    165
308    2914    229    3    76    79
308    2907    227    0    81    81
309    2978    245    0    64    64
309    2882    221    2    86    88
310    2069    18    261    31    292
311    2783    196    0    115    115
315    2002    1    0    314    314
315    2683    171    0    144    144
315    2679    170    0    145    145
315    382    96    189    30    219
316    2931    233    0    83    83
319    2060    16    225    78    303
319    2587    147    0    172    172
319    2691    173    0    146    146
319    2591    148    0    171    171
319    378    95    189    35    224
319    358    90    187    42    229
319    353    89    0    230    230
320    2943    236    0    84    84
321    2064    17    227    77    304
321    98    25    24    272    296
321    362    91    188    42    230
321    366    92    187    42    229
321    1005    252    0    69    69
321    1009    253    0    68    68
321    365    92    0    229    229
321    1089    273    0    48    48
321    361    91    0    230    230
322    2158    40    2    280    282
322    2599    150    0    172    172
322    2699    175    0    147    147
323    2819    205    0    118    118
323    370    93    187    43    230
323    86    22    25    276    301
323    374    94    187    42    229
323    94    24    24    275    299
323    1081    271    0    52    52
323    1029    258    0    65    65
323    373    94    0    229    229
323    349    88    0    235    235
323    1033    259    0    64    64
324    2603    151    0    173    173
324    2959    240    0    84    84
324    2827    207    0    117    117
325    2607    152    0    173    173
326    2831    208    0    118    118
328    2746    187    2    139    141
330    2735    184    0    146    146
332    2995    249    0    83    83
333    2073    19    276    38    314
333    2342    86    2    245    247
333    2739    185    0    148    148
334    2386    97    2    235    237
334    2146    37    0    297    297
334    2743    186    0    148    148
336    2238    60    2    274    276
337    2510    128    2    207    209
338    3019    255    0    83    83
338    2759    190    0    148    148
338    2883    221    0    117    117
340    2655    164    0    176    176
340    2887    222    0    118    118
340    3027    257    0    83    83
341    2895    224    0    117    117
342    2659    165    0    177    177
342    2771    193    0    149    149
344    2663    166    0    178    178
344    3043    261    0    83    83
344    422    106    220    18    238
345    2911    228    0    117    117
345    2483    121    0    224    224
346    3051    263    0    83    83
347    2018    5    0    342    342
347    2787    197    0    150    150
347    2671    168    0    179    179
347    2675    169    0    178    178
348    2294    74    0    274    274
348    2058    15    0    333    333
348    3059    265    0    83    83
348    2579    145    0    203    203
348    2923    231    0    117    117
349    2077    20    300    29    329
349    2927    232    0    117    117
350    2795    199    0    151    151
351    2068    18    259    74    333
352    2799    200    0    152    152
352    2803    201    0    151    151
352    3075    269    0    83    83
353    2072    19    262    72    334
353    2687    172    0    181    181
354    2939    235    0    119    119
354    2695    174    0    180    180
354    2947    237    0    117    117
355    2815    204    0    151    151
356    2594    149    3    204    207
356    2823    206    0    150    150
356    2955    239    0    117    117
356    2703    176    0    180    180
356    3091    273    0    83    83
356    426    107    223    26    249
358    2835    209    0    149    149
358    2715    179    0    179    179
358    398    100    222    36    258
358    402    101    221    36    257
358    394    99    223    36    259
358    325    82    0    276    276
358    321    81    0    277    277
359    3095    274    0    85    85
360    2081    21    313    26    339
360    2154    39    1    320    321
360    2979    245    0    115    115
360    2847    212    0    148    148
360    2727    182    0    178    178
360    406    102    221    37    258
360    410    103    220    37    257
360    418    105    219    36    255
360    414    104    219    37    256
360    345    87    0    273    273
360    337    85    0    275    275
360    333    84    0    276    276
360    341    86    0    274    274
360    329    83    0    277    277
