Td    ID    Tj    Df    Dd    Db
2    3    1    0    1    1
3    7    2    0    1    1
6    1    1    0    5    5
8    5    2    0    6    6
10    9    3    0    7    7
13    21    6    0    7    7
15    25    7    0    8    8
18    41    11    0    7    7
20    45    12    0    8    8
22    53    14    0    8    8
25    65    17    0    8    8
27    73    19    0    8    8
29    77    20    0    9    9
31    69    18    0    13    13
35    93    24    0    11    11
39    81    21    0    18    18
42    117    30    1    11    12
49    121    31    1    17    18
52    199    50    0    2    2
53    203    51    0    2    2
53    125    32    2    19    21
55    211    53    0    2    2
56    215    54    0    2    2
58    223    56    0    2    2
58    200    50    0    8    8
59    204    51    0    8    8
59    227    57    0    2    2
61    235    59    0    2    2
62    239    60    0    2    2
64    247    62    0    2    2
65    2002    1    0    64    64
65    251    63    0    2    2
66    161    41    9    16    25
67    189    48    9    10    19
67    165    42    9    16    25
67    236    59    0    8    8
67    169    43    9    15    24
67    259    65    0    2    2
67    173    44    9    14    23
68    263    66    0    2    2
70    271    68    0    2    2
71    275    69    0    2    2
71    240    60    0    11    11
73    283    71    0    2    2
73    197    50    16    7    23
74    201    51    16    7    23
74    287    72    0    2    2
74    205    52    15    7    22
76    295    74    0    2    2
76    213    54    14    8    22
76    272    68    0    8    8
77    299    75    0    2    2
77    221    56    12    9    21
79    307    77    0    2    2
80    311    78    0    2    2
80    225    57    15    8    23
80    276    69    0    11    11
81    315    79    0    2    2
82    319    80    0    2    2
83    323    81    0    2    2
84    327    82    0    2    2
85    331    83    0    2    2
85    308    77    0    8    8
86    335    84    0    2    2
87    339    85    0    2    2
87    253    64    14    9    23
88    343    86    0    2    2
89    347    87    0    2    2
90    351    88    0    2    2
91    355    89    0    2    2
92    359    90    0    2    2
93    363    91    0    2    2
94    367    92    0    2    2
94    344    86    0    8    8
95    371    93    0    2    2
96    375    94    0    2    2
96    277    70    16    10    26
97    379    95    0    2    2
98    383    96    0    2    2
98    281    71    15    12    27
99    387    97    0    2    2
100    391    98    0    2    2
