Td    ID    Tj    Df    Dd    Db
101    395    99    0    2    2
102    399    100    0    2    2
103    403    101    0    2    2
104    407    102    0    2    2
104    285    72    16    16    32
104    380    95    0    9    9
105    411    103    0    2    2
106    415    104    0    2    2
107    419    105    0    2    2
108    423    106    0    2    2
109    427    107    0    2    2
110    431    108    0    2    2
111    435    109    0    2    2
112    439    110    0    2    2
112    416    104    0    8    8
113    443    111    0    2    2
114    447    112    0    2    2
115    451    113    0    2    2
116    455    114    0    2    2
117    459    115    0    2    2
118    463    116    0    2    2
119    467    117    0    2    2
120    2006    2    29    89    118
120    471    118    0    2    2
121    475    119    0    2    2
121    452    113    0    8    8
122    479    120    0    2    2
123    483    121    0    2    2
123    337    85    23    15    38
124    487    122    0    2    2
125    491    123    0    2    2
126    495    124    0    2    2
127    499    125    0    2    2
128    503    126    0    2    2
129    507    127    0    2    2
130    511    128    0    2    2
130    488    122    0    8    8
131    515    129    0    2    2
131    361    91    30    10    40
132    519    130    0    2    2
133    523    131    0    2    2
134    527    132    0    2    2
135    531    133    0    2    2
136    535    134    0    2    2
137    539    135    0    2    2
138    543    136    0    2    2
139    547    137    0    2    2
139    524    131    0    8    8
140    551    138    0    2    2
141    555    139    0    2    2
142    559    140    0    2    2
143    563    141    0    2    2
144    567    142    0    2    2
145    571    143    0    2    2
146    575    144    0    2    2
147    579    145    0    2    2
148    583    146    0    2    2
148    560    140    0    8    8
149    587    147    0    2    2
150    591    148    0    2    2
151    595    149    0    2    2
152    599    150    0    2    2
153    603    151    0    2    2
154    2010    3    74    77    151
154    607    152    0    2    2
154    405    102    34    18    52
154    413    104    35    15    50
154    401    101    35    18    53
155    611    153    0    2    2
156    615    154    0    2    2
157    619    155    0    2    2
157    425    107    39    11    50
157    596    149    0    8    8
158    623    156    0    2    2
158    429    108    42    8    50
159    627    157    0    2    2
160    631    158    0    2    2
160    437    110    45    5    50
161    635    159    0    2    2
161    441    111    44    6    50
162    639    160    0    2    2
163    643    161    0    2    2
163    453    114    41    8    49
164    647    162    0    2    2
165    651    163    0    2    2
166    655    164    0    2    2
166    632    158    0    8    8
167    659    165    0    2    2
167    469    118    43    6    49
168    663    166    0    2    2
168    477    120    41    7    48
169    667    167    0    2    2
170    671    168    0    2    2
170    481    121    41    8    49
171    675    169    0    2    2
172    679    170    0    2    2
172    485    122    41    9    50
173    683    171    0    2    2
174    687    172    0    2    2
175    691    173    0    2    2
175    501    126    42    7    49
175    668    167    0    8    8
176    695    174    0    2    2
177    699    175    0    2    2
178    703    176    0    2    2
179    707    177    0    2    2
179    517    130    41    8    49
180    711    178    0    2    2
181    715    179    0    2    2
181    525    132    41    8    49
182    719    180    0    2    2
183    723    181    0    2    2
184    727    182    0    2    2
184    529    133    41    10    51
184    704    176    0    8    8
184    521    131    41    12    53
185    731    183    0    2    2
186    735    184    0    2    2
187    739    185    0    2    2
187    545    137    41    9    50
188    743    186    0    2    2
189    747    187    0    2    2
190    751    188    0    2    2
191    755    189    0    2    2
192    759    190    0    2    2
193    763    191    0    2    2
193    740    185    0    8    8
194    767    192    0    2    2
195    771    193    0    2    2
195    565    142    43    10    53
196    775    194    0    2    2
196    569    143    42    11    53
197    779    195    0    2    2
198    783    196    0    2    2
199    787    197    0    2    2
200    791    198    0    2    2
201    795    199    0    2    2
202    799    200    0    2    2
202    573    144    42    16    58
202    776    194    0    8    8
203    803    201    0    2    2
204    807    202    0    2    2
205    811    203    0    2    2
206    815    204    0    2    2
207    819    205    0    2    2
208    823    206    0    2    2
209    827    207    0    2    2
210    831    208    0    2    2
211    835    209    0    2    2
211    812    203    0    8    8
212    839    210    0    2    2
213    843    211    0    2    2
214    847    212    0    2    2
215    851    213    0    2    2
216    855    214    0    2    2
217    859    215    0    2    2
218    863    216    0    2    2
219    2014    4    151    64    215
219    867    217    0    2    2
220    871    218    0    2    2
220    848    212    0    8    8
221    875    219    0    2    2
222    879    220    0    2    2
223    883    221    0    2    2
224    887    222    0    2    2
225    891    223    0    2    2
226    895    224    0    2    2
227    899    225    0    2    2
228    903    226    0    2    2
229    907    227    0    2    2
229    884    221    0    8    8
230    911    228    0    2    2
231    915    229    0    2    2
232    2018    5    163    64    227
232    919    230    0    2    2
233    923    231    0    2    2
233    645    162    57    14    71
233    649    163    57    13    70
234    657    165    58    11    69
234    927    232    0    2    2
234    665    167    58    9    67
235    931    233    0    2    2
236    935    234    0    2    2
236    669    168    59    9    68
237    939    235    0    2    2
238    943    236    0    2    2
239    947    237    0    2    2
239    673    169    60    10    70
239    920    230    0    9    9
240    681    171    63    6    69
240    685    172    62    6    68
240    951    238    0    2    2
241    955    239    0    2    2
241    689    173    61    7    68
242    959    240    0    2    2
243    963    241    0    2    2
243    693    174    61    8    69
244    967    242    0    2    2
245    971    243    0    2    2
246    975    244    0    2    2
246    705    177    60    9    69
247    979    245    0    2    2
247    956    239    0    8    8
248    2788    198    2    48    50
248    717    180    61    7    68
249    983    246    0    3    3
249    987    247    0    2    2
250    2780    196    2    52    54
250    991    248    0    2    2
251    729    183    60    8    68
252    999    250    0    2    2
253    1003    251    0    2    2
253    733    184    60    9    69
255    2792    199    2    54    56
255    1011    253    0    2    2
256    1015    254    0    2    2
256    741    186    61    9    70
257    745    187    61    9    70
257    992    248    0    9    9
258    1023    256    0    2    2
258    749    188    61    9    70
258    1000    250    0    8    8
259    1027    257    0    2    2
260    1031    258    0    2    2
260    757    190    60    10    70
261    1035    259    0    2    2
262    1039    260    0    2    2
263    1043    261    0    2    2
263    765    192    61    10    71
264    2700    176    2    86    88
264    1047    262    0    2    2
265    1051    263    0    2    2
266    769    193    61    12    73
266    1055    264    0    2    2
267    1059    265    0    2    2
267    773    194    62    11    73
267    1036    259    0    8    8
268    1063    266    0    2    2
269    2776    195    2    72    74
269    1067    267    0    2    2
270    1071    268    0    2    2
271    1075    269    0    2    2
272    1079    270    0    2    2
273    1083    271    0    2    2
274    1087    272    0    2    2
274    801    201    63    10    73
275    1091    273    0    2    2
276    1095    274    0    2    2
277    1099    275    0    2    2
278    1103    276    0    2    2
279    1107    277    0    2    2
279    1072    268    0    11    11
280    1111    278    0    2    2
281    1115    279    0    2    2
282    1119    280    0    2    2
283    1123    281    0    2    2
284    1127    282    0    2    2
285    1131    283    0    2    2
285    1108    277    0    8    8
286    1135    284    0    2    2
287    1139    285    0    2    2
288    1143    286    0    2    2
289    1147    287    0    2    2
290    1151    288    0    2    2
291    1155    289    0    2    2
292    1159    290    0    2    2
293    1163    291    0    2    2
294    1167    292    0    2    2
294    1144    286    0    8    8
295    2026    7    228    60    288
295    1171    293    0    2    2
296    2022    6    219    71    290
296    1175    294    0    2    2
297    849    213    69    15    84
297    1179    295    0    2    2
297    837    210    70    17    87
298    841    211    70    17    87
298    1183    296    0    2    2
299    1187    297    0    2    2
300    1191    298    0    2    2
301    1195    299    0    2    2
302    2992    249    2    51    53
302    873    219    77    6    83
303    2796    200    49    54    103
304    885    222    76    6    82
304    1199    300    0    4    4
304    1203    301    0    3    3
305    1180    295    0    10    10
305    1207    302    0    3    3
306    3000    251    5    50    55
306    893    224    74    8    82
307    1219    305    0    2    2
308    901    226    75    7    82
309    1223    306    0    3    3
310    1231    308    0    2    2
312    1239    310    0    2    2
313    1243    311    0    2    2
313    921    231    74    8    82
314    3020    256    9    49    58
315    1251    313    0    2    2
315    925    232    75    8    83
315    1220    305    0    10    10
315    929    233    74    8    82
315    1224    306    0    9    9
316    1255    314    0    2    2
317    1259    315    0    2    2
318    1263    316    0    2    2
319    1267    317    0    2    2
320    1271    318    0    2    2
321    1275    319    0    2    2
321    949    238    75    8    83
322    1279    320    0    2    2
323    3056    265    5    53    58
323    953    239    75    9    84
323    1283    321    0    2    2
324    1264    316    0    8    8
324    1287    322    0    2    2
325    1291    323    0    2    2
326    1295    324    0    2    2
327    1299    325    0    2    2
328    1303    326    0    2    2
328    969    243    76    9    85
329    1307    327    0    2    2
330    1311    328    0    2    2
330    973    244    75    11    86
331    1315    329    0    2    2
332    1319    330    0    2    2
333    1323    331    0    2    2
333    1300    325    0    8    8
334    1327    332    0    2    2
335    1331    333    0    2    2
336    1335    334    0    2    2
336    997    250    76    10    86
337    1339    335    0    2    2
338    1343    336    0    2    2
339    1347    337    0    2    2
340    1351    338    0    2    2
341    1355    339    0    2    2
342    1359    340    0    2    2
342    1336    334    0    8    8
343    1363    341    0    2    2
344    1367    342    0    2    2
345    1371    343    0    2    2
346    1375    344    0    2    2
347    1379    345    0    2    2
348    1383    346    0    2    2
349    1387    347    0    2    2
350    1391    348    0    2    2
351    1395    349    0    2    2
351    1372    343    0    8    8
352    1399    350    0    2    2
353    1403    351    0    2    2
354    1407    352    0    2    2
355    1411    353    0    2    2
356    2034    9    288    59    347
356    3208    303    1    52    53
357    1415    354    0    3    3
358    3076    270    33    55    88
358    1419    355    0    3    3
359    1423    356    0    3    3
360    2030    8    288    64    352
360    3212    304    3    53    56
361    1057    265    83    13    96
361    1431    358    0    3    3
361    1435    359    0    2    2
362    1049    263    84    15    99
362    1065    267    85    10    95
362    1408    352    0    10    10
362    1439    360    0    2    2
363    1069    268    85    10    95
364    3224    307    8    49    57
365    1447    362    0    3    3
366    1451    363    0    3    3
367    1073    269    92    6    98
368    1463    366    0    2    2
368    1077    270    91    7    98
369    1467    367    0    2    2
371    1475    369    0    2    2
371    1093    274    89    8    97
371    1448    362    0    9    9
371    1097    275    88    8    96
372    1479    370    0    2    2
372    1101    276    88    8    96
372    1452    363    0    9    9
373    3256    315    9    49    58
375    1105    277    91    7    98
375    1487    372    0    3    3
375    1109    278    90    7    97
375    1491    373    0    2    2
376    1081    271    91    14    105
377    1499    375    0    2    2
378    1503    376    0    2    2
380    1511    378    0    2    2
380    1121    281    88    11    99
380    1488    372    0    8    8
381    1515    379    0    2    2
381    1133    284    89    8    97
381    1492    373    0    8    8
383    1523    381    0    2    2
384    1527    382    0    2    2
384    1137    285    91    8    99
385    1141    286    90    9    99
386    1535    384    0    2    2
386    1125    282    90    14    104
387    1539    385    0    2    2
389    1547    387    0    2    2
390    1551    388    0    2    2
390    1129    283    89    18    107
390    1524    381    0    9    9
390    1528    382    0    8    8
391    1157    290    91    10    101
392    1559    390    0    2    2
393    1563    391    0    2    2
394    1161    291    90    13    103
395    1571    393    0    2    2
396    1575    394    0    2    2
398    1583    396    0    2    2
398    1185    297    90    11    101
398    1560    390    0    8    8
399    1587    397    0    2    2
400    3424    357    2    41    43
402    1595    399    0    3    3
402    1564    391    0    11    11
403    1599    400    0    3    3
405    1611    403    0    2    2
406    3440    361    4    41    45
406    1615    404    0    2    2
408    1596    399    0    9    9
408    1623    406    0    2    2
409    1627    407    0    2    2
409    1600    400    0    9    9
411    2042    11    350    50    400
411    1635    409    0    2    2
412    1639    410    0    2    2
414    1647    412    0    2    2
415    1651    413    0    2    2
417    3456    365    9    43    52
418    1659    415    0    3    3
418    1636    409    0    9    9
419    1663    416    0    3    3
419    1640    410    0    9    9
420    3292    324    33    63    96
421    2038    10    347    64    411
421    1221    306    97    18    115
421    1225    307    96    18    114
421    1675    419    0    2    2
422    1229    308    97    17    114
422    1679    420    0    2    2
424    1233    309    100    15    115
424    1687    422    0    2    2
425    1691    423    0    2    2
427    1699    425    0    2    2
427    1253    314    106    7    113
427    1676    419    0    8    8
427    1237    310    99    18    117
428    1703    426    0    2    2
428    1680    420    0    8    8
429    1265    317    105    7    112
430    1711    428    0    2    2
431    1715    429    0    2    2
432    1277    320    104    8    112
433    1723    431    0    2    2
434    3432    359    2    73    75
434    1281    321    104    9    113
434    1727    432    0    2    2
435    1273    319    104    12    116
436    1712    428    0    8    8
437    1739    435    0    2    2
437    1293    324    105    8    113
437    1735    434    0    3    3
438    1297    325    105    8    113
438    1716    429    0    9    9
439    1747    437    0    2    2
440    1751    438    0    2    2
442    1759    440    0    2    2
442    1309    328    105    9    114
443    3492    374    27    42    69
443    1301    326    104    13    117
443    1763    441    0    2    2
445    1748    437    0    8    8
445    1317    330    106    9    115
445    1771    443    0    2    2
446    1775    444    0    2    2
446    1321    331    105    10    115
446    1752    438    0    8    8
448    1783    446    0    2    2
449    1787    447    0    2    2
451    1795    449    0    2    2
452    1799    450    0    2    2
453    1341    336    107    10    117
454    1807    452    0    2    2
455    3600    401    6    48    54
456    1811    453    0    3    3
456    1345    337    106    13    119
456    1784    446    0    10    10
458    1819    455    0    3    3
458    1788    447    0    11    11
459    1827    457    0    2    2
461    1835    459    0    2    2
462    1839    460    0    2    2
464    1847    462    0    2    2
464    1820    455    0    9    9
465    1851    463    0    2    2
465    1828    457    0    8    8
467    3668    418    3    46    49
468    1859    465    0    3    3
468    1863    466    0    2    2
471    2050    13    409    49    458
471    1875    469    0    2    2
474    1887    472    0    2    2
474    1860    465    0    9    9
475    1864    466    0    9    9
476    2046    12    400    64    464
477    1899    475    0    2    2
477    1405    352    115    10    125
477    1876    469    0    8    8
477    1409    353    115    9    124
478    1903    476    0    2    2
480    1911    478    0    2    2
481    1915    479    0    2    2
482    1413    354    122    6    128
483    1417    355    122    6    128
483    1923    481    0    2    2
483    1900    475    0    8    8
483    1421    356    121    6    127
484    1927    482    0    2    2
485    3680    421    14    50    64
485    1425    357    120    8    128
486    1437    360    118    8    126
486    1935    484    0    2    2
487    3624    407    11    69    80
487    1441    361    117    9    126
487    1912    478    0    9    9
488    1939    485    0    3    3
490    1947    487    0    3    3
490    1951    488    0    2    2
490    1445    362    121    7    128
491    1955    489    0    2    2
492    1453    364    120    8    128
493    1963    491    0    2    2
493    1457    365    119    9    128
493    1936    484    0    9    9
494    1967    492    0    2    2
495    1461    366    118    11    129
496    1975    494    0    2    2
497    1979    495    0    2    2
499    1987    497    0    2    2
499    1477    370    121    8    129
499    1964    491    0    8    8
499    1481    371    120    8    128
====================================
Battle_result: Draw
====================================
For Earth army:
Total Es: 499
Total Et: 998
Total Eg: 499
Total healed units percentage: 0 %
percentage of destructed Es: 29.0581 %
percentage of destructed Et: 44.99 %
percentage of destructed Eg: 0 %
percentage of total destructed units: 29.7595 %
Average Df: 15.0387
Average Dd: 4.75758
Average Db: 19.7963
Df//Db: 0.759673
Dd/Db: 0.240327
====================================
For Alien army:
Total As: 499
Total Am: 499
Total Ad: 998
percentage of destructed As: 2.60521 %
percentage of destructed Am: 5.01002 %
percentage of destructed Ad: 0 %
percentage of total destructed units: 1.90381 %
Average Df: 83.9737
Average Dd: 57.4211
Average Db: 141.395
Df//Db: 0.593895
Dd/Db: 0.406105
